engelsk,CEFR,gender,ord,wordAudio,uttale,etymologi,definisjon,sentenceAudio,eksempel,sentenceTranslation,sentenceToDelete
ABCs,B2,ei,abc,X,"[abese:´], [abəse:´]",Latin,lærebok i staving og lesing; abc-bok; bok som inneholder elementære kunnskaper innenfor et fag eller emne; grunnbok,X,"De startet med det grunnleggende, eller abc-en, i emnet.","They started with the basics, or the ABCs, of the subject.",
abdication,C,en,abdikasjon,X,[abdikaʃo:´n],Latin,det å abdisere,X,Kongens abdikasjon sjokkerte hele nasjonen.,The king's abdication shocked the entire nation.,
abdicate,C,verb,abdisere,X,[abdise:´rə],Latin: abdicare,"frasi seg, gi avkall på sin krone; frasi seg lederverv",X,Kongen valgte å abdisere til fordel for sin sønn.,The king chose to abdicate in favor of his son.,
abdomen,C,et,abdomen,X,[abdo:´m(ə)n],Latin,"buk, underliv; bakkropp hos leddyr og insekt",X,Legen undersøkte pasientens abdomen for tegn på sykdom.,The doctor examined the patient's abdomen for signs of disease.,
"downside, problem",C,et,aber,X,[a:´bər],German,"hake, ulempe, uheldig forhold, men",X,Det er et aber ved saken.,There's a downside to the case.,
prank,B2,en,ablegøye,X,[abləgøi`ə],Dutch,morsomt påfunn; apestrek,X,Barna lo høyt av onkelens siste ablegøye.,The children laughed out loud at their uncle's latest prank.,
abnormal,B2,adjective,abnorm,X,[abnå´rm],Latin,"avvikende, sykelig, unormal, defekt",X,Han ble født med en abnorm utvikling i hoftene.,He was born with an abnormal development in his hips.,
abolition,C,en,abolisjon,X,[aboliʃo:´n],Latin,fritak for straff; påtaleunnlatelse,X,Abolisjonen av slaveri var et viktig steg mot frihet.,The abolition of slavery was an important step towards freedom.,
abolitionist,C,en,abolisjonist,X,[aboliʃoni´st],Latin,"person som går inn for å avskaffe noe, for eksempel dødsstraff; person som kjempet for å få slutt på slaveri",X,Abolisjonister kjempet hardt for å få slutt på slaveriet.,Abolitionists fought hard to end slavery.,
subscription,B1,et,abonnement,X,[abon(ə)ma´ŋ:],French,det å abonnere,X,Abonnementet løper ut.,The subscription expires.,
subscriber,B1,en,abonnent,X,[abone´nt],French,person som abonnerer på noe,X,Det er abonnenter og annonsører som skal verves og purres på.,It's subscribers and advertisers that need to be recruited and reminded.,
subscribe,B1,verb,abonnere,X,[abone:´rə],French,bestille til regelmessig levering,X,Jeg skal abonnere på avisen fra neste uke.,I'll be subscribing to the newspaper from next week.,
abortion,B1,en,abort,X,[abå´rt],Latin: abortus,fødsel av et foster som ikke er fullt utviklet og levedyktig,X,Brita var en av foregangskvinnene for selvbestemt abort.,Brita was one of the pioneering women for self-determined abortion.,
abort,C,verb,abortere,X,[abårte:´rə],Latin,føde så tidlig at fosteret ikke er levedyktig,X,Hun valgte å abortere etter en vanskelig medisinsk vurdering.,She chose to abort after a difficult medical assessment.,
abracadabra,B1,interjection,abrakadabra,X,[a:´bra kada:´bra],Latin,sagt når en gjør tryllekunster,X,"Abrakadabra, der lå den forsvunne hjerterkongen.","Abracadabra, there lay the lost king of hearts.",
abracadabra,C,et,abrakadabra,X,[a:´bra kada:´bra],Latin,noe som løser et problem; uforståelig og meningsløst prat; tullprat,X,De snakker et kaudervelsk abrakadabra.,They speak a gibberish abracadabra.,
abscess,C,en,abscess,X,[apse´s:],Latin,"svull, verk; materiefylt byll",X,Legen måtte behandle abscessen for å forhindre infeksjon.,The doctor had to treat the abscess to prevent infection.,
absolutism,C,en,absolutisme,X,[apsoluti´smə],Latin,enevelde,X,Den franske hagen var en programerklæring for absolutismen.,The French garden was a manifesto for absolutism.,
absolutist,C,en,absolutist,X,[apsoluti´st],Latin,tilhenger av absolutisme,X,Konferansen blir avbrutt av primitivistiske studenter og religiøse absolutister.,The conference is interrupted by primitivist students and religious absolutists.,
absolutist,C,adjective,absolutistisk,X,[apsoluti´stisk],Latin,som gjelder absolutisme,X,Styret hans ble ansett som absolutistisk og undertrykkende.,His rule was seen as absolutist and oppressive.,
absolute,B1,et,absolutt,X,[apsolu´t:],Latin,absolutt krav,X,Jeg bøyer meg bare for absolutter.,I only bow to absolutes.,
absolute,B1,adjective,absolutt,X,[apsolu´t:],Latin,"som gjelder uten forbehold; fullstendig, uinnskrenket",X,Teorien har absolutt gyldighet.,The theory has absolute validity.,
absolute majority,B1,expression,"absolutt flertall, absolutt majoritet",X,,Latin,over halvparten av stemmene blant alle stemmeberettigede,X,Partiet vant valget med et absolutt flertall.,The party won the election with an absolute majority.,
absolute zero,C,expression,absolutt nullpunkt,X,,Latin,nullpunktet i den termodynamiske temperaturskalaen,X,Absolutt nullpunkt er den laveste mulige temperaturen.,Absolute zero is the lowest possible temperature.,
absorb,B2,verb,absorbere,X,[apsårbe:´re],Latin,"suge opp, ta opp i seg",X,Hjemmemarkedet kunne ikke absorbere produksjonen.,The domestic market could not absorb the production.,
absorption,C,ei,absorbering,X,,Latin,det å absorbere; absorpsjon,X,Sponsene ble brukt til absorbering av væske.,The sponges were used to absorb liquid.,
absorption,C,en,absorpsjon,X,[apsårpʃo:´n],Latin,absorbering,X,Kroppen trenger tid til absorpsjon av vitaminer.,The body needs time to absorb vitamins.,
"abstinence, withdrawal",C,en,abstinens,X,[apstine´ns],Latin,"avhold, for eksempel fra alkohol, tobakk, narkotika; reaksjon på avhold fra rusmidler en er avhengig av",X,Det nyfødte barnet ble behandlet for abstinens på grunn av morens rusmisbruk.,The newborn baby was treated for withdrawal due to the mother's substance abuse.,
withdrawal symptom,C,et,abstinenssymptom,X,,Latin,sykdomstegn som følge av plutselig opphør av inntak av vanedannende rusmiddel,X,Han opplevde sterke abstinenssymptomer etter å ha sluttet med medisinen.,He experienced severe withdrawal symptoms after stopping the medication.,
abstract,C,verb,abstrahere,X,[apstrahe:´rə],Latin,lage en allmenn forestilling om noe ved å fremheve visse trekk og se bort fra andre,X,For å forstå teorien må du abstrahere detaljene.,"To understand the theory, you need to abstract the details.",
abstraction,C,ei,abstrahering,X,,Latin,det å abstrahere; abstraksjon,X,Det er umulig å klassifisere uten å abstrahere.,It is impossible to classify without abstracting.,
abstraction,B2,en,abstraksjon,X,[apstrakʃo:´n],Latin,"abstrahering; tanke, fenomen som er et resultat av abstrahering",X,Abstraksjon kan være en nyttig måte å forenkle komplekse ideer på.,Abstraction can be a useful way to simplify complex ideas.,
abstract,B2,et,abstrakt,X,[apstra´kt],Latin,"uhåndgripelig eller tenkt fenomen; sammendrag, referat; stil eller tilnærming hvor kunstverket ikke nødvendigvis representerer gjenstander eller figurer fra den virkelige verden",X,Et abstrakt kan gi en god oversikt over hovedinnholdet i en forskningsartikkel.,An abstract can give a good overview of the main content in a research article.,
abstract,B2,adjective,abstrakt,X,[apstra´kt],Latin,som bare kan fattes gjennom tanken; ikke konkret eller fysisk,X,Matematikk er en abstrakt vitenskap.,Mathematics is an abstract science.,
"absurd, absurdist",B2,adjective,absurd,X,[apsu´r-d],Latin,"meningsløs, urimelig; latterlig, eller fullstendig uforståelig på grunn av sin irrasjonelle eller motsigende natur",X,Dette er jo ganske absurd.,This is quite absurd.,
absurdity,B2,en,absurditet,X,[apsur-dite:´t],Latin,det å være absurd,X,Begge verk har en fortellende struktur og en leken absurditet.,Both works have a narrative structure and a playful absurdity.,
action,B2,en,action,X,[æ´kʃ(ə)n],Latin via French via English: action,"spenningsfylt, dramatisk handling",X,Filmen var full av action-scener som holdt oss på kanten av setet.,The movie was full of action scenes that kept us on the edge of our seats.,
ad absurdum,C,expression,ad absurdum,X,[adapsu´r-dum],Latin,til det absurde eller urimelige,X,Diskusjonen ble dratt ut ad absurdum.,The discussion was dragged out ad absurdum.,
"as necessary, ad hoc",C,expression,ad hoc,X,[adhå´k:],Latin,"til dette spesielle formålet, i dette spesielle tilfellet",X,Vi trenger en ad hoc-løsning på problemet.,We need an ad hoc solution to the problem.,
birthday suit,C,ei,adamsdrakt,X,,Hebrew,naken tilstand,X,Han sto der i adamsdrakt etter å ha hoppet i vannet.,He stood there in his birthday suit after jumping into the water.,
Adam's apple,B1,et,adamseple,X,,Hebrew,fremste del av strupehodet (mest synlig hos menn),X,Han kjente et ubehag i adamseplet da han svelget.,He felt a discomfort in his Adam's apple when he swallowed.,
"add, add up",B1,verb,addere,X,[ade:´rə],Latin,"legge sammen, summere",X,"Hvis du adderer tallene, får du totalsummen.","If you add up the numbers, you get the total sum.",
addition,B1,en,addisjon,X,[adiʃo:´n],Latin,sammenlegging av tall,X,Addisjonen er riktig.,The addition is correct.,
adequate,B2,adjective,adekvat,X,[adəkva:´t],Latin: adaequare,"dekkende, fullgod, samsvarende med; tilstrekkelig, passende, eller egnet for en bestemt situasjon eller formål",X,Hun ga en adekvat forklaring på hva som hadde skjedd.,She gave an adequate explanation of what had happened.,
nobility,B2,en,adel,X,[a:´d(ə)l],German: ādel,(personer fra) øverste samfunnsklasse med arvelige særretter,X,Adelen hadde stor makt i middelalderen.,The nobility had great power in the Middle Ages.,
noble,B2,adjective,adelig,X,[a:`d(ə)li],German,som gjelder adelen,X,Prinsen giftet seg adelig.,The prince married into nobility.,
noblewoman,C,ei,adelsdame,X,,German,adelig dame,X,Adelsdamen var kjent for sin nåde og skjønnhet.,The noblewoman was known for her grace and beauty.,
nobility,C,et,adelskap,X,,German,rett og verdighet som følger med adel,X,Adelskapet ble opphevet i mange land på 1900-tallet.,Nobility was abolished in many countries in the 20th century.,
nobleman,C,en,adelsmann,X,,German,adelig mann,X,Adelsmannen red gjennom byen med stor prakt.,The nobleman rode through the city with great splendor.,
"distinction, badge of nobility",C,et,adelsmerke,X,,German,"tegn på gode, særegne egenskaper",X,Adelsmerket var et symbol på familiens makt.,The distinction was a symbol of the family's power.,
"behavior, conduct",B1,ei,"adferd, atferd",X,[a:`dfær-d],Old Norse: atferð,måte å opptre på,X,Lærerens adferd var rolig og respektfull i alle situasjoner.,The teacher’s behavior was calm and respectful in all situations.,
behavior pattern,B2,et,"adferdsmønster, atferdsmønster",X,,,fast eller midlertidig mønster eller systematikk som gjelder adferden til mennesker (eller dyr),X,Hunden endret adferdsmønster etter flyttingen.,The dog changed its behavior pattern after the move.,
behavioral norm,B2,en,"adferdsnorm, atferdsnorm",X,,Old Norse,norm for hva som er akseptabel og uakseptabel adferd innenfor en kultur eller et miljø,X,Samfunnet har visse adferdsnormer som må følges.,Society has certain behavioral norms that must be followed.,
access,B1,en,adgang,X,[a:`dgaŋ],Old Norse: tilgangr,mulighet til å komme inn eller til å gjøre bruk av,X,Medlemmer har gratis adgang.,Members have free access.,
admission ticket,B1,en,adgangsbillett,X,,,adgangstegn,X,Du må vise adgangsbilletten ved inngangen.,You must show your admission ticket at the entrance.,
access control,B2,en,adgangskontroll,X,,,det å kontrollere retten til adgang,X,Adgangskontrollen tok lengre tid enn vanlig.,The access control took longer than usual.,
access card,B1,et,adgangskort,X,,,kort som gir rett til å komme inn; adgangstegn,X,Han låste seg inn med adgangskortet.,He let himself in with the access card.,
admission pass,B2,et,adgangstegn,X,,,"billett, merke, kort eller lignende som gir en rett til å komme inn på et arrangement eller sted; adgangskort",X,Armbåndet fungerer som adgangstegn under hele festivalen.,The wristband functions as an admission pass throughout the festival.,
ADHD,B1,en,ADHD,X,,English,"tilstand preget av konsentrasjonsvansker, hyperaktivitet og impulsivitet",X,Gutten ble diagnostisert med ADHD.,The boy was diagnosed with ADHD.,
temporary committee,C,en,"adhockomité, adhockomite",X,,Latin,"komite som er nedsatt for å arbeide med en spesiell sak, og som deretter blir oppløst",X,Adhockomiteen ble opprettet for å løse et midlertidig problem.,The Adhoc committee was created to solve a temporary problem.,
temporary solution,C,ei,"adhocløsning, adhocløysing",X,,Latin,midlertidig løsning,X,Dette er bare en adhocløsning.,This is just an ad hoc solution.,
adjective,B1,et,adjektiv,X,,Latin,"ord som karakteriserer et substantiv, og som på norsk kan gradbøyes og bøyes i kjønn og tall",X,Et adjektiv beskriver hvordan et substantiv er.,An adjective describes what a noun is like.,
turn into an adjective,C,verb,adjektivere,X,,Latin,gjøre til adjektiv,X,Læreren ba studentene adjektivisere substantivet.,The teacher asked the students to turn the noun into an adjective.,
adjectival,C,adjective,adjektivisk,X,,Latin,brukt som adjektiv,X,Den adjektiviske formen av ordet gir teksten en mer presis betydning.,The adjectival form of the word gives the text a more precise meaning.,
goodbye,A1,et,adjø,X,[adjø:´],French,farvel,X,Det ble et vemodig adjø med den avholdte læreren.,It was a wistful farewell with the retired teacher.,
access,B2,en,"adkomst, atkomst",X,,Old Norse,"berettiget krav; vei eller lignende som fører frem til noe, adgang, tilkomst",X,Tomta har lett adkomst fra riksveien.,The site has easy access from the national road.,
knight,B2,verb,adle,X,,German,gi adelig rang; gjøre gjevere og edlere,X,Han ble adlet for sitt bidrag til samfunnet.,He was knighted for his contribution to society.,
obey,B1,verb,adlyde,X,,Old Norse,"lystre, høre på, respektere",X,Det er viktig å adlyde lærerens instrukser.,It is important to obey the teacher's instructions.,
administration,B1,en,administrasjon,X,,Latin,personale i offentlig eller privat virksomhet som utfører administrativt arbeid,X,Administrasjonen på skolen er alltid opptatt med å organisere aktiviteter for elevene.,The school administration is always busy organizing activities for the students.,
administrative center,B1,et,administrasjonssenter,X,,Latin,senter for administrasjon (for eksempel i kommune eller bedrift),X,Byen fungerer som et administrasjonssenter for regionen.,The city serves as an administrative center for the region.,
administrative,B1,adjective,administrativ,X,,Latin,som gjelder administrasjon,X,Hun jobber med administrative oppgaver på kontoret.,She works with administrative tasks in the office.,
administrator,B2,en,administrator,X,,,"person som administrerer, leder, styrer",X,Administratoren stengte tilgangen for alle brukere etter sikkerhetsbruddet.,The administrator shut off access for all users after the security breach.,
administer,B2,verb,administrere,X,,Latin,"lede, styre, forvalte",X,Han ble bedt om å administrere kontorets daglige rutiner.,He was asked to manage the office's daily routines.,
adoption,B1,en,adopsjon,X,,Latin,det å adoptere,X,Adopsjonen gikk gjennom etter mange måneder med venting.,The adoption went through after many months of waiting.,
adopt,B1,verb,adoptere,X,,Latin,"ta opp, godkjenne",X,Skoleklassen adopterte et skip.,The school class adopted a ship.,
sender,B2,en,adressant,X,[adresa´nt],French,avsender,X,"Adressanten var ukjent, så brevet ble returnert.","The addressee was unknown, so the letter was returned.",
addressee,B2,en,adressat,X,,French,den som noe er adressert til,X,Adressaten for brevet var en venn av familien.,The addressee of the letter was a family friend.,
address,A1,ei,adresse,X,[adre´s:ə],French,opplysning om stedet der noen bor eller en virksomhet holder til; plassering eller sted der noe eller noen er lokalisert,X,Det sto navn og adresse utenpå pakken.,There was a name and address on the outside of the package.,
without address,B2,adjective,"adresseløs, adresselaus",X,,,uten adresse,X,Han fikk brevet i retur fordi mottakeren var adresseløs.,He got the letter back because the recipient had no address.,
address,B1,verb,adressere,X,[adrese:´rə],French,sette (navn og) adresse på; henvende,X,Brevet var adressert til meg.,The letter was addressed to me.,
addressing,B1,ei,adressering,X,,French,det å adressere; henvendelse,X,Pakken har mangelfull adressering.,The package has insufficient addressing.,
"separate, segregate",B2,verb,"adskille, atskille",X,[a:´dʃilə],Old Norse,"oppheve forbindelsen mellom, skille; danne skille mellom; skjelne, skille mellom; avvike fra",X,En hekk adskiller eiendommene.,A hedge separates the properties.,
separation,B2,en,"adskillelse, atskillelse",X,[a:´dʃil(ə)lsə],Old Norse,"det å være, bli adskilt, separasjon",X,De var samlet igjen etter lang adskillelse.,They were together again after a long separation.,
considerable,B2,adjective,"adskillig, atskillig",X,[adʃi´l:i],Old Norse: atskiljanligr,"(ganske) mye, ikke så lite; (ganske) mange, ikke så få",X,Det var adskillig å utsette på planen.,There were several delays in the plan.,
"separated, separate",B1,adjective,"adskilt, atskilt",X,,Old Norse,"separat, hver for seg",X,De to søsknene ble adskilt etter ulykken.,The two siblings were separated after the accident.,
"diversion, recreation, respite",B2,en,"adspredelse, atspredelse",X,[a:´dspred(ə)lsə],Old Norse,"underholdning, forlystelse; det å glemme sorger og bekymringer",X,De tok en tur på kino for litt adspredelse etter en travel uke.,They took a trip to the movies for a little diversion after a busy week.,
warn,B1,verb,advare,X,[a:´dvarə],Old Norse,varsle om uheldige følger,X,Hvordan skal vi få advart henne?,How are we going to warn her?,
warning,B1,en,advarsel,X,[a:`dvaʃ(ə)l],Old Norse,"formaning, påminnelse",X,Det manglet ikke på advarsler.,There was no shortage of warnings.,
Advent,A2,en,advent,X,[a`dvent],Latin,de siste fire ukene før jul,X,Advent begynner neste søndag.,Advent begins next Sunday.,
advent calendar,A2,en,adventskalender,X,,Latin,"kalender for dagene fra 1. desember til julaften med luker eller gaver som åpnes, én for hver dag; julekalender",X,Barna elsker adventskalenderen sin.,The kids love their advent calendar.,
adverb,A2,et,adverb,X,[advæ´rb],Latin,"ord som oftest er underordnet et verb, et adjektiv eller et annet adverb, og som sier noe om grad, måte, sted eller tid",X,I ‘å kjøre fort’ er ‘fort’ et adverb.,"In 'to drive fast', 'fast' is an adverb.",
"lawyer, advocate",B1,en,advokat,X,[advoka:´t],Latin,person med juridisk utdanning som har rett til å yte juridisk hjelp,X,Hans hustru var hans beste advokat.,His wife was his best lawyer.,
law firm,B1,et,advokatfirma,X,,Latin,firma drevet av advokat(er),X,Advokatfirmaet håndterer flere store selskapsfusjoner.,The law firm handles several large company mergers.,
advocate,C,verb,advokere,X,[advoke:´rə],Latin,gå inn for; ta til orde for,X,I det politiske landskap er det nasjonalistpartiene som advokerer full løsrivelse.,"In the political landscape, it is the nationalist parties that advocate full secession.",
era,B2,en,æra,X,[æ:´ra],Latin,"tidsrom, epoke",X,Datamaskinen innledet en ny æra.,The computer ushered in a new era.,
decent,C,adjective,ærbar,X,[æ:`rbar],German via Old Norse,"anstendig, sømmelig",X,Hun er en ærbar kvinne med stor respekt i samfunnet.,She is an honorable woman with great respect in society.,
honorable,C,adjective,ærbødig,X,[ærbø:´di],German,som viser stor aktelse eller respekt; i superlativ eller med personlig pronomen til å undertegne brev,X,Han ga et ærbødig nikk til kongen.,He gave a reverent nod to the king.,
"reverence, deep respect",C,ei,ærbødighet,X,,German,"det å være ærbødig; ærbødig opptreden, handlemåte, innstilling (overfor en, noe); (dyp) respekt; aktelse",X,Han bøyde hodet i ærbødighet foran monumentet.,He bowed his head in reverence before the monument.,
honor,B2,verb,ære,X,[æ:`rə],German via Old Norse: æra,"vise stor respekt eller anerkjennelse, hedre, beære; den gode anseelsen eller respekten som en person eller en gruppe har opparbeidet seg gjennom sine handlinger, integritet og karakter",X,Han æret gjesten ved å holde en stor middag for henne.,He honored the guest by holding a big dinner for her.,
honor,B2,ei,ære,X,[æ:`rə],German via Old Norse,"anseelse, berømmelse, respekt, beundring",X,Hun hadde den ære å få tale med kongen.,She had the honor of speaking with the king.,
honorable,B2,adjective,ærefull,X,,German via Old Norse,som det følger stor ære med,X,Å vinne denne prisen er en ærefull prestasjon.,Winning this award is an honorable achievement.,
ambitious,B2,adjective,ærekjær,X,,,som er omhyggelig med sitt omdømme; ærgjerrig,X,Hun er ærekjær og passer alltid på å gjøre et godt inntrykk.,She is ambitious and always careful to make a good impression.,
defame,C,verb,ærekrenke,X,,German via Old Norse,"tilføye ærekrenkelse, utsette for utilbørlig behandling eller omtale, for eksempel i form av injurier",X,Hun ble anklaget for å ærekrenke sin kollega.,She was accused of defaming her colleague.,
defamation,C,en,ærekrenkelse,X,,German via Old Norse,straffbar handling som krenker en persons æresfølelse eller alminnelige omdømme,X,Ærekrenkelsen førte til en rettssak.,The defamation led to a lawsuit.,
without honor,C,adjective,æreløs,X,,German via Old Norse,"uten moralsk verdighet, skamløs; som er dømt til æreløshet; som er vanæret ved å ha vært under behandling av rakkeren, for eksempel brennemerket eller kakstrøket; som utøver visse yrker, for eksempel om rakker, rakkerknekt, gjøgler",X,Den æreløse handlingen ble fordømt av alle.,The dishonorable act was condemned by all.,
dishonor,C,ei,æreløshet,X,,,"det å være æreløs; den tilstand å være æreløs, særlig som straff for visse forbrytelser som tyveri og falsk",X,Han ble dømt til æreløshet etter å ha begått dokumentfalsk.,He was sentenced to dishonor after committing document forgery.,
errand,A2,et,ærend,X,[æ:`rən],Old Norse: erendi,"budskap; verv, oppdrag; tur for å utføre et oppdrag",X,Han måtte ut en tur for å gjøre et ærend for moren sin.,He had to go out for a walk to do an errand for his mother.,
"glorious, honorable",C,adjective,ærerik,X,,German: ehrenreich,som det følger ry med,X,Kongen fikk en ærerik begravelse med full militær honnør.,The king was given an honorable funeral with full military honors.,
badge of honor,B2,ei,æresbevisning,X,,German via Old Norse,"utmerkelse, ærefullt verv eller lignende",X,Han ble tildelt en æresbevisning for sitt arbeid.,He was awarded a certificate of honor for his work.,
sense of honor,C,en,æresfølelse,X,,German via Old Norse,"følelse for hva som sømmer seg, omhu for sin vandel",X,Hans æresfølelse er veldig sterk.,His sense of honor is very strong.,
guest of honor,C,en,æresgjest,X,,German via Old Norse,hedersgjest,X,Æresgjesten ankom til stor applaus.,The guest of honor arrived to great applause.,
word of honor,B2,et,æresord,X,,German via Old Norse,forsikring gitt med ryktet eller æren som sikkerhet,X,Æresordet hans betydde mye for ham.,His word of honor meant a lot to him.,
honorary prize,B2,en,ærespris,X,,German via Old Norse,"pris utdelt som særlig ærefull belønning (i vitenskap, kunst eller idrett)",X,Han ble tildelt en ærespris for sitt livslange arbeid innen forskning.,He was awarded an honorary prize for his lifelong work in research.,
matter of honor,C,ei,æressak,X,,German via Old Norse,noe en er æresforpliktet til,X,Det var en æressak for ham å betale spillegjelden.,It was a matter of honor for him to pay the gambling debt.,
obsessed with honor,C,adjective,"æresyk, æresjuk",X,,German via Old Norse,besatt av trang til å vinne ære og berømmelse,X,Han ble ansett som æresyk på grunn av sin stolthet.,He was considered honor-bound because of his pride.,
ambitious,B2,adjective,ærgjerrig,X,,,"som tar sikte på å nå langt, som streber etter anseelse, ærekjær",X,Han er svært ærgjerrig og vil bli best i faget sitt.,He is very ambitious and wants to become the best in his field.,
ambition,B2,ei,ærgjerrighet,X,,,det å være ærgjerrig; ærgjerrig plan eller ønske,X,Ærgjerrigheten hennes gjorde at hun jobbet ekstra hver kveld.,Her ambition made her work extra every evening.,
honest,A2,adjective,ærlig,X,[æ:`rli],German via Old Norse: ærligr,"sannferdig, oppriktig, uforstilt",X,Hun er kjent for å være ærlig i alle situasjoner.,She is known for being honest in all situations.,
honesty,A2,ei,ærlighet,X,,German via Old Norse,det å være ærlig; rettskaffenhet; oppriktighet,X,Ærlighet varer lengst.,Honesty is the best policy.,
honesty is the best policy,A2,expression,ærlighet varer lengst,X,,German via Old Norse,man står seg i lengden på å være ærlig; man kommer lengst ved å være ærlig,X,"Som man sier, ærlighet varer lengst.","As they say, honesty is the best policy.",
honorable,C,adjective,ærverdig,X,,German via Old Norse,"verdig eller respektinngytende på grunn av høy alder, høy stand eller kvalitet",X,Det var en ærverdig seremoni for å hedre de falne.,It was an honorable ceremony to honor the fallen.,
"ew, yuck",A1,interjection,æsj,X,[æʃ:],onomatopoeia,"brukt for å uttrykke vemmelse, avsky, ergrelse",X,"Æsj, dette smaker forferdelig!","Yuck, this tastes awful!",
"clan, tribe",B2,ei,ætt,X,,Old Norse: ætt,slekt; en familie eller en gruppe mennesker som er forbundet med felles forfedre eller en felles slektslinje,X,Hun stammer fra en gammel og mektig ætt.,She comes from an ancient and powerful lineage.,
"trace back, descend",B2,verb,ætte,X,[e`t:ə],Old Norse,"nedstamme; tilhøre en bestemt ætt, stamme eller slekt",X,De måtte ætte sitt husdyr etter gårdens tradisjoner.,They had to breed their livestock according to the farm's traditions.,
"bloodlines, tribal society",C,et,ættesamfunn,X,,Old Norse,"samfunnsordning der slekta er den viktigste enhet; samfunnsorganisasjonsform der folk er organisert eller identifisert basert på felles ætt, slekt eller familieforbindelser",X,Ættesamfunnet var viktig i vikingtiden.,Bloodlines were important in the Viking Age.,
affair,B2,en,affære,X,[afæ:´rə],French,"sak, gjøremål, hending; kjærlighetshistorie; romantisk eller seksuelt forhold mellom to personer som ikke er gift eller samboende med hverandre, spesielt når det gjelder hemmelige eller skjulte forhold",X,Han hadde en affære med kollegaen sin i flere måneder.,He had an affair with his colleague for several months.,
affection,C,en,affeksjon,X,,Latin,"godhet, kjærlighet; sykelig tilstand",X,Han viste affeksjon for hunden sin på en måte som rørte alle rundt ham.,He showed affection for his dog in a way that touched everyone around him.,
