engelsk,CEFR,gender,ord,uttale,etymologi,definisjon,eksempel
sense of honor,B2,en,æresfølelse ,,German via Old Norse,"følelse for hva som sømmer seg, omhu for sin vandel",Hans æresfølelse er veldig sterk.
guest of honor,B2,en,æresgjest ,,German via Old Norse,hedersgjest,Æresgjesten ankom til stor applaus.
word of honor,B2,et,æresord,,German via Old Norse,"forsikring gitt med ryktet eller æren som sikkerhet",Æresordet hans betydde mye for ham.
matter of honor,B2,ei,æressak,,German via Old Norse,"noe en er æresforpliktet til",Det var en æressak for ham å betale spillegjelden.
obsessed with honor,B2,adjective,"æresyk, æresjuk",,German via Old Norse,"besatt av trang til å vinne ære og berømmelse",Han ble ansett som æresyk på grunn av sin stolthet.
honest,A2,adjective,ærlig ,,German via Old Norse,"sannferdig, oppriktig, uforstilt",Hun er kjent for å være ærlig i alle situasjoner.
honesty,A2,ei,ærlighet,,German via Old Norse,det å være ærlig; rettskaffenhet; oppriktighet,Ærlighet varer lengst.
honesty is the best policy,A2,expression,"ærlighet varer lengst",,German via Old Norse,man står seg i lengden på å være ærlig; man kommer lengst ved å være ærlig,"Som man sier, ærlighet varer lengst."
honorable,B2,adjective,ærverdig ,,German via Old Norse,"verdig eller respektinngytende på grunn av høy alder, høy stand eller kvalitet",Det var en ærverdig seremoni for å hedre de falne.
"ew, yuck",A1,interjection,æsj,[æʃ:],onomatopoeia,"brukt for å uttrykke vemmelse, avsky, ergrelse","Æsj, dette smaker forferdelig!"
"clan, tribe",B2,ei,ætt,,Old Norse: ætt,slekt; en familie eller en gruppe mennesker som er forbundet med felles forfedre eller en felles slektslinje,Hun stammer fra en gammel og mektig ætt.
"trace back, descend",B2,verb,ætte,,Old Norse,"nedstamme; tilhøre en bestemt ætt, stamme eller slekt",De måtte ætte sitt husdyr etter gårdens tradisjoner.
descent society,B2,et,ættesamfunn,,Old Norse,"samfunnsordning der slekta er den viktigste enhet; samfunnsorganisasjonsform der folk er organisert eller identifisert basert på felles ætt, slekt eller familieforbindelser",Ættesamfunnet var viktig i vikingtiden.
affair,B2,en,affære,[afæ:´rə],French,"sak, gjøremål, hending; kjærlighetshistorie; romantisk eller seksuelt forhold mellom to personer som ikke er gift eller samboende med hverandre, spesielt når det gjelder hemmelige eller skjulte forhold","Æsj, for noe kliss!"
affect,B2,en,affekt,,Latin,"sterk, brå sinnsbevegelse",I ren affekt slo han døren igjen.
pretend,C,verb,affektere,,Latin,"late som, hykle","Han prøvde å affektere publikums følelser, men det virket falskt."
affective,C,adjective,affektiv,,Latin,som står i forbindelse med sinn eller følelser; emosjonell,Hans affektive lidelse gjorde det vanskelig for ham å regulere følelsene sine.
affect,B2,verb,affisere,,Latin,"gjøre inntrykk på, påvirke",Hun fortsatte å arbeide uten å la seg affisere.
"Afghani, Afghan",B2,adjective,afghansk,,,som gjelder Afghanistan og afghanere,
Africa,A1,et,Afrika,,,den nest største verdensdelen og et eget kontinent,Jeg drømmer om å reise til Afrika en dag.
"African person, African",A2,en,afrikaner,,,person fra Afrika,Han er en stolt afrikaner.
African,A2,adjective,afrikansk,,,som gjelder Afrika og afrikanere,Jeg liker afrikansk musikk.
afro,B1,en,afro,,English,afrofrisyre; musikkform med afroamerikanske røtter,Hun hadde en stilig afro på 70-tallet.
African-American person,B1,en,afroamerikaner,,Latin via English,"amerikaner av afrikansk opprinnelse",Vi snakket med en afroamerikaner som delte sine erfaringer med oss.
African-American,B1,adjective,afroamerikansk,,Latin via English,"som gjelder eller er særmerkt for afroamerikanere",Afroamerikansk kultur har hatt stor innflytelse på musikk og kunst. Han er en kjent afroamerikansk forfatter som har skrevet flere prisvinnende bøker.
afro,B1,en,afrofrisyre,,English,frisyre med krusete hår,Afrofrisyren har blitt et symbol på kulturell stolthet.
agenda,B1,en,agenda,[age´nda],Latin,"sakliste, dagsorden; tenkt liste over sentrale temaer som bør tas opp til debatt; plan for noe en ønsker å gjennomføre",Møtets agenda inkluderte flere viktige punkter.
agent,B1,en,agent,[age´nt],Latin,"selger, salgsrepresentant; person som arbeider i etterretningstjeneste; spion",Han jobber som agent for et internasjonalt selskap.
"aggregate, unit",B2,et,aggregat,,Latin,samling av mange enkeltdeler; kombinasjon av maskiner som virker sammen; frittstående maskin som produserer strøm; sammensatt jordpartikkel; mineral av flere krystaller,
aggregate,C,verb,aggregere,,Latin,koble sammen; samle i en bestemt orden; samle seg,Dataene ble aggregert for å lage en samlet rapport.
aggression,B2,en,aggresjon,,Latin,væpnet overfall; angrep; følelse eller atferd som er preget av en fiendtlig holdning; oppførsel som har til hensikt å forårsake skade eller smerte,Aggresjonen hans overrasket alle som kjente ham som en rolig person.
aggressive,B2,adjective,aggressiv,,Latin,"stridslysten, truende",Krokodiller er mer aggressive overfor mennesker enn alligatorer.
aggressivity,B2,en,aggressivitet,,Latin,det å være aggressiv; fiendtlig holdning; angrepslyst,Hans aggressivitet i diskusjoner gjør det vanskelig å oppnå enighet.
aggressor,B2,en,aggressor,,Latin,"aggressiv person, person som utøver vold, angriper",Landet ble sett på som en aggressor etter angrepet på naboen.
bait,B2,et,agn,[aŋn],Old Norse: agn,lokkemat for fisk; lokkemiddel,Jeg satte på ferskt agn på kroken før jeg kastet snøret i vannet. Fiskeren la agnet på kroken.
chaff,B2,ei,agn,[aŋn],Old Norse: ǫgn,dekkblad omkring småaks og blomster på gressplanter,
bait,B2,verb,agne,[a`ŋnə],Old Norse,sette agn på; egne,Jeg måtte agne fiskekroken på nytt etter at fisken stjal agnet.
agnostic,C,en,agnostiker ,[agnå´stikər],Greek via English,"som tror på agnostismen, som ikke har noen visshet om Guds eksistens",Som agnostiker mener hun at det er umulig å bevise Guds eksistens eller fravær.
agnosticism,C,en,agnostisisme ,,Greek,"lære, syn som avviser at mennesket kan vite noe om det oversanselige, for eksempel om Gud fins",Agnostisisme innebærer å være åpen for at vi ikke kan vite om det finnes en høyere makt.
agnostic,C,adjective,agnostisk,,Greek,"som gjelder eller er preget av agnostisisme",Han har en agnostisk holdning til spørsmål om liv etter døden.
cucumber,A1,en,agurk,,Greek,(plante av) art i gresskarfamilien; Cucumis sativus; frukt av agurk,Jeg liker å ha agurk på brødskiva mi.
AIDS,B1,en,aids,[eids],English: AIDS,sykdom som forårsakes av hivvirus og som ødelegger kroppens immunforsvar,Aids er en alvorlig sykdom som fortsatt krever mye forskning.
update,C,verb,ajourføre,[aʃu:´rfø:`rə],French,føre a jour; oppdatere,Det ble gitt ut en ajourført utgave på mikrofilm.
yoke,B2,et,åk ,,,"et bæreredskap (som regel i tre) til å legge over skuldrene, med en taustropp med krok i hver ende",
academy,B2,et,akademi,,Greek via Latin,høyere undervisningsinstitusjon eller forskningsinstitutt,Akademiet utdanner noen av de beste forskerne i landet.
academic,B2,en,akademiker,,Greek via Latin,person med utdanning fra universitet eller høyskole; ansatt i akademisk stilling,Hun er en respektert akademiker innen sitt felt.
academic,B2,adjective,akademisk,,Greek via Latin,som gjelder universitet eller akademikere,"Debattantene holdt en lang, akademisk diskusjon."
sled,A2,verb,ake,,,"gli smått og forsiktig; åle; gli på kjelke, slede eller lignende; renne, skli",Vi skal ake i parken når snøen kommer.
Achilles heel,B2,en,akilleshæl,[aki´l:əshe:l],Greek,sårbart punkt; svakhet; sårbarhet eller svakhet som eksisterer til tross for overlegenhet eller styrke i andre områder,Matematikk er hans akilleshæl.
Achilles tendon,B2,ei,akillessene,[aki´l:əsse:`nə],Greek,kraftig sene som går fra leggmusklene til hælbeinet,Fotballspilleren rev akillessenen under kampen.
accompaniment,B2,et,akkompagnement,[akompanjəma´ŋ:],French,musikk som ledsager melodibærende sang eller instrument; (noter til) tonefølge,Hun sang vakkert med pianoakkompagnement.
"contract, accord",B1,en,akkord,,,avtale om å gjøre et arbeid for en viss sum; avtale om lønn i forhold til arbeidsytelsen,Bandet spilte i perfekt akkord under konserten.
"just, exactly",A2,adverb,akkurat,[akura:´t],,verken mer eller mindre enn; nøyaktig; nettopp,Dette er akkurat riktig farge.
acme,C,en,akme,[a`k:mə],Greek,"høydepunkt i aktivitet eller innflytelse i livsløpet til en person, institusjon eller doktrine; høydepunkt i en utvikling",
acne,B2,en,akne,[a`knə],Greek,betennelse i talgkjertler i huden,Mange ungdommer sliter med akne i puberteten.
acrobat,B1,en,akrobat,,Greek,person som gjør gymnastiske kunststykker,Akrobaten imponerte alle med sine bevegelser.
axis,B2,en,akse ,,,(tenkt) midtlinje som noe roterer omkring,Han undersøkte aksen for å sikre at alt var på linje.
axle,B2,en,aksel,,,aksling; tverrtre mellom to skjæker eller meier,Akselen på sykkelen trengte smøring.
accent,B1,en,aksent,,Latin,måte å uttale et fremmedspråk på,Han har en tydelig britisk aksent når han snakker engelsk.
acceptance,B1,en,aksept,,Latin,"det å akseptere",Hans aksept av tilbudet kom som en overraskelse.
acceptable,B2,adjective,akseptabel,,Latin,som kan aksepteres,Forslaget var akseptabelt for alle parter.
accept,B1,verb,akseptere ,,Latin,"gå med på, godkjenne, godta",Jeg kommer ikke til å akseptere at du farer frem slik.
axiom,C,et,aksiom,,Greek,grunnsetning som ikke trenger bevis eller kan bevises,
axiomatic,C,adjective,aksiomatisk,,Greek,som gjelder aksiomer; selvinnlysende,Alle matematiske systemer har et aksiomatisk utgangspunkt.
"stock, share",B2,en,aksje,,Latin,eierandel i et aksjeselskap,Partiets aksjer har steget.
shareholder,B2,en,aksjeeier,,Latin,eier av én eller flere aksjer,Aksjeeieren deltok på generalforsamlingen.
stock fund,B2,et,aksjefond,,Latin,"fond som plasserer midlene i aksjer, og som en kan kjøpe andeler i",Jeg investerte i et aksjefond for å spare til pensjon.
share capital,B2,en,aksjekapital,,Latin,samlet pålydende verdi av alle aksjene i et aksjeselskap,Bedriften økte sin aksjekapital i fjor.
stock price,B2,en,aksjekurs,,Latin,kurs som oppgir verdien til en aksje,Aksjekursen falt med over to prosent.
stock market,B2,et,aksjemarked,,Latin,marked hvor det kjøpes og selges aksjer,Aksjemarkedet har vært svært volatilt i det siste.
campaign,B2,en,aksjon,,Latin,organisert handling som har til formål å gripe inn i eller endre en situasjon,Fagforeningen varslet en aksjon mot de nye arbeidsvilkårene.
shareholder,B2,en,aksjonær,,Latin,aksjeeier,Som aksjonær har han en liten andel i selskapets fortjeneste.
take action,B2,verb,aksjonere,,Latin,"gå til aksjon, for eksempel med demonstrasjon eller streik",De planlegger å aksjonere foran rådhuset for å få oppmerksomhet rundt saken.
day of action,B2,en,aksjonsdag,,Latin,dag da det aksjoneres for eller imot noe,Den årlige aksjonsdagen samlet tusenvis til støtte for miljøvern.
"axle, shaft",B2,en,aksling,,,"(metall)stang som enten selv går rundt og overfører kraft fra motor til mekanisk maskin, eller som ligger rolig og bærer oppe eller binder sammen roterende maskindeler (hjul); aksel",
act,B2,ei,akt,,Latin,"handling, virksomhet; seremoni; kjønnsakt; samleie; hoveddel av et skuespill; (bilde av) naken modell",I andre akt av stykket opplever hovedpersonen en dramatisk forandring.
attention,B2,en,akt,,German,"oppmerksomhet; vørdnad, respekt",
regard,B2,verb,akte,,German,bry seg om; ta hensyn til,Du må akte dine foreldres råd.
"regard, respect",B2,en,aktelse,,German,"respekt, vørdnad",Hans mangeårige innsats har gitt ham stor aktelse i samfunnet.
backwards,B2,adverb,akter,,German,bak; bakover,Kapteinen sto akter på skipet og så ut over havet.
"stern, behind",C,en,akterende,,German,bakerste ende av et fartøy,De akterende passasjerene kunne nyte utsikten fra bakdekket.
backwards,B2,adverb,akterut,,German,ved akterenden,Vi ble liggende akterut i konkurransen etter en dårlig start.
active,A2,adjective,aktiv,[a´ktiv],Latin,"virksom, driftig",Hun er svært aktiv i den lokale idrettsforeningen.
active euthanasia,C,expression,"aktiv dødshjelp",,,"tiltak for å avslutte livet til en person som er håpløst syk og selv ønsker å dø",
activate,B2,verb,aktivere ,,Latin,gjøre aktiv,De måtte aktivere nødprotokollen da systemet krasjet.
activate,B2,verb,aktivisere ,,Latin,gjøre aktiv; få i virksomhet,Læreren forsøkte å aktivisere elevene med en engasjerende oppgave.
activism,B2,en,aktivisme ,,Latin,"holdning, politisk retning eller virksomhet hvor en går inn for målrettet handling",Hans sterke engasjement for miljøet har ført til år med politisk aktivisme.
activist,B2,en,aktivist ,,Latin,person som ivrer for direkte aksjon eller inngrep,Det er en seier for aktivistene.
"activist, activistic",B2,adjective,aktivistisk,,Latin,direkte inngripende; pågående; militant,Hans aktivistiske tilnærming har inspirert mange til å bli med i bevegelsen.
activity,A2,en,aktivitet ,,Latin,det å være aktiv; virksomhet,Fysisk aktivitet er viktig for å opprettholde god helse.
"participant, actor",B2,en,aktør,,Latin,"handlende, medvirkende person",
"attentive, careful",C,adjective,aktpågivende,,,"oppmerksom, påpasselig",
"make relevant, actualize",B2,verb,aktualisere,,Latin,gjøre aktuell,Vi må aktualisere denne debatten i dagens samfunn.
relevancy,B2,en,aktualitet,,Latin,det å ha betydning i øyeblikket,Avisen diskuterte den politiske aktualiteten.
"relevant, current",B2,adjective,aktuell,[aktue´l:],Latin via French,"nåværende, nærværende; som har interesse (akkurat nå), av betydning i en viss sammenheng, reell, mulig",Jeg skal ringe hvis det blir aktuelt. Det blir ikke aktuelt.
"acute, sharp",B2,adjective,akutt ,[aku´t:],Latin,"hard og kortvarig, brå",Hun ble lagt inn på sykehuset med akutt blindtarmbetennelse.
emergency department,B2,ei,akuttavdeling,,Latin,"sykehusavdeling for pasienter som trenger behandling straks",Pasienten ble sendt til akuttavdelingen for behandling.
emergency medicine,B2,en,akuttmedisin ,,Latin,(læren om) øyeblikkelig legehjelp; medisinsk førstehjelp,Han spesialiserte seg i akuttmedisin.
