titleNorwegian,titleEnglish,genre,CEFR,norwegian,english
Svarte hull,Black Holes,science,B2,"Svart hull er et av universets mest fascinerende og mystiske fenomener. Det er områder i verdensrommet der tyngdekraften er så sterk at ingenting, ikke engang lys, kan slippe unna. Denne ekstreme tyngdekraften oppstår når en stor stjerne kollapser under sin egen vekt og danner et lite, men utrolig massivt objekt. Et svart hull har tre hovedkomponenter: hendelseshorisonten, singulariteten og akkresjonsskiven. Hendelseshorisonten er grensen rundt det svarte hullet der lyset og materien blir fanget. Innenfor denne grensen trekkes alt mot sentrum, der singulariteten befinner seg. Singulariteten er et punkt der massen er samlet, og tyngdekraften er uendelig sterk. Akkresjonsskiven består av gass og støv som snurrer rundt det svarte hullet før det trekkes inn. Forskere bruker avanserte teleskoper for å studere svarte hull. I 2019 fikk vi for første gang se et bilde av et svart hull i galaksen M87, takket være Event Horizon Telescope-prosjektet. Dette bildet viste en lysende ring av oppvarmet gass som omringet den mørke kjernen – et syn som bekreftet mange teorier om svarte hull. Svart hulls betydning strekker seg langt utover astrofysikken. De utfordrer vår forståelse av fysikkens lover og tidens natur. Dessuten inspirerer de både forskere og kunstnere til å tenke stort og kreativt. Hvorfor er svarte hull så interessante? Kanskje fordi de representerer en grense for hva vi kan forstå, et mysterium som alltid vil tiltrekke seg nysgjerrige sinn.","Black holes are one of the universe's most fascinating and mysterious phenomena. They are areas in space where gravity is so strong that nothing, not even light, can escape. This extreme gravity occurs when a large star collapses under its own weight, forming a small but incredibly massive object. A black hole has three main components: the event horizon, the singularity and the accretion disk. The event horizon is the boundary around the black hole where light and matter are trapped. Within this boundary, everything is pulled towards the center, where the singularity is located. The singularity is a point where mass is concentrated and gravity is infinitely strong. The accretion disk consists of gas and dust that spins around the black hole before being pulled in. Scientists use advanced telescopes to study black holes. In 2019, we were able to see an image of a black hole in the M87 galaxy for the first time, thanks to the Event Horizon Telescope project. This image showed a luminous ring of heated gas surrounding the dark core - a sight that confirmed many theories about black holes. The significance of black holes extends far beyond astrophysics. They challenge our understanding of the laws of physics and the nature of time. What's more, they inspire scientists and artists alike to think big and creatively. Why are black holes so interesting? Perhaps because they represent a frontier of what we can understand, a mystery that will always attract curious minds."
Blåhvaler,Blue Whales,science,A2,"Blåhvalen er det største dyret i verden. Den kan bli opp til 30 meter lang og veie mer enn 150 000 kilo. Blåhvalen lever i havet og svømmer ofte lange avstander. Den spiser mest små dyr som kalles krill. En blåhval kan spise flere tonn krill hver dag. Blåhvalen har en stor kropp og blågrå hud. Den har også en liten ryggfinne og en lang hale. Når den puster, kommer det en stor sky av damp opp fra blåsehullet på ryggen. Blåhvalen er et fredelig dyr og liker ikke bråk. Den kommuniserer med andre hvaler gjennom dype lyder som mennesker ikke kan høre. Mange mennesker jobber for å beskytte blåhvalen, fordi det finnes færre av dem nå enn før.","The blue whale is the largest animal in the world. It can grow up to 30 meters long and weigh more than 150,000 kilos. The blue whale lives in the ocean and often swims long distances. It mainly eats small animals called krill. A blue whale can eat several tons of krill every day. The blue whale has a large body and blue-gray skin. It also has a small dorsal fin and a long tail. When it breathes, a big cloud of steam comes out of the blowhole on its back. The blue whale is a peaceful animal and doesn’t like noise. It communicates with other whales through deep sounds that humans can’t hear. Many people work to protect the blue whale because there are fewer of them now than before."
Blå soner,Blue Zones,health,B1,"Blå soner er områder i verden der folk lever lengst og er sunnest. Det finnes fem slike steder: Okinawa i Japan, Sardinia i Italia, Nicoya i Costa Rica, Ikaria i Hellas og Loma Linda i USA. I disse områdene er det vanlig at mange blir over hundre år gamle, og de har ofte god helse hele livet. Hva er hemmeligheten? En viktig grunn er kostholdet. I blå soner spiser folk mye grønnsaker, frukt, bønner og nøtter. De spiser lite kjøtt og sukker. Fysisk aktivitet er også viktig. Folk går mye, jobber i hagen eller gjør annet manuelt arbeid hver dag. I tillegg har de sterke sosiale bånd. Familie og venner spiller en viktig rolle, og de tar seg tid til å være sammen. Mange har også en slags tro eller livsfilosofi som gir dem mening og ro i livet. Blå soner viser oss at små forandringer i livsstilen kan ha stor betydning for helsen. Kanskje kan vi lære noe fra dem og leve sunnere og lengre?","Blue zones are areas of the world where people live the longest and are the healthiest. There are five such places: Okinawa in Japan, Sardinia in Italy, Nicoya in Costa Rica, Ikaria in Greece and Loma Linda in the USA. In these areas, it's common for people to live to be over a hundred years old, and they often enjoy good health throughout their lives. What is the secret? One important reason is diet. In blue zones, people eat a lot of vegetables, fruits, beans and nuts. They eat little meat and sugar. Physical activity is also important. People walk a lot, work in the garden or do other manual labor every day. In addition, they have strong social ties. Family and friends play an important role, and they make time to be together. Many also have some kind of faith or philosophy of life that gives them meaning and peace of mind. Blue zones show us that small changes in lifestyle can have a big impact on health. Perhaps we can learn something from them and live healthier and longer?"
Bokbrenning,Book Burnings,history,B2,"Selv om det å brenne bøker kan virke som en handling fra en fjern fortid, har det fortsatt en sterk symbolsk kraft i dagens samfunn. Bokbrenning blir ofte brukt som et uttrykk for sensur, maktmisbruk og intoleranse. Når myndigheter eller grupper velger å ødelegge bøker, handler det ikke bare om å fjerne fysiske gjenstander, men om å forsøke å kontrollere informasjon og forme menneskers tanker. Et kjent historisk eksempel er nazistenes bokbrenninger i Tyskland på 1930-tallet. Bøker skrevet av jødiske forfattere, politiske motstandere og andre som ble sett på som en trussel mot regimet, ble systematisk brent på offentlige plasser. Dette var et klart signal om at visse ideer og meninger ikke var tillatt. I dag skjer bokbrenninger mer sjelden, men det finnes fortsatt eksempler, både som politiske markeringer og som uttrykk for religiøs ekstremisme. I slike tilfeller handler det ofte om frykt – frykt for det ukjente, for annerledes tanker og for tap av kontroll. Det er viktig å kunne diskutere og være uenig, men brenning av bøker stenger døren for dialog og forståelse. Et samfunn som verdsetter ytringsfrihet og utdanning, bør heller oppmuntre til åpenhet, kritisk tenkning og respekt for ulike perspektiver.","Even though burning books may seem like an act from a distant past, it still carries strong symbolic power in today’s society. Book burning is often used as a symbol of censorship, abuse of power, and intolerance. When governments or groups choose to destroy books, it’s not just about removing physical objects, but about trying to control information and shape people’s thinking. A well-known historical example is the Nazi book burnings in Germany in the 1930s. Books written by Jewish authors, political opponents, and others seen as a threat to the regime were systematically burned in public places. This was a clear signal that certain ideas and opinions were not allowed.
Today, book burnings happen more rarely, but there are still examples, both as political statements and as expressions of religious extremism. In such cases, it’s often about fear — fear of the unknown, of different ideas, and of losing control. It is important to be able to discuss and disagree, but burning books closes the door to dialogue and understanding. A society that values freedom of expression and education should instead encourage openness, critical thinking, and respect for different perspectives."
Bestilling av hotellrom,Booking a Hotel Room,dialogue,A1,"Sola skinte svakt gjennom de store vinduene da Anna gikk inn i resepsjonen. Det luktet kaffe og nyvasket gulv. Hun gikk bort til disken, der en smilende mann i mørk dress sto bak datamaskinen. “Hei,” sa Anna forsiktig. “Jeg vil gjerne bestille et rom.” Mannen nikket og så opp. “Hei! Velkommen. Har du bestilt på forhånd?” “Nei,” svarte hun. “Kan jeg få et enkeltrom for én natt?” “Selvfølgelig,” sa han og tastet noe på tastaturet. “Vi har ledige rom. Vil du ha rom med bad?” “Ja, gjerne,” sa Anna. “Og med frokost?” “Ja, frokost er inkludert,” svarte han. “Rommet koster 950 kroner for én natt. Er det greit?” “Ja, det er fint,” svarte hun og tok fram lommeboka. “Hva er navnet ditt?” spurte han mens han tastet videre. “Anna Larsen.” “Flott. Her er nøkkelen, rom 204, i andre etasje. Heisen er til venstre.” “Takk!” sa Anna og tok imot nøkkelen. “Vær så god. Ha et fint opphold!” “Takk. Ha en fin dag!”","The sun shone faintly through the large windows as Anna entered the reception area. It smelled of coffee and freshly washed floors. She walked over to the counter, where a smiling man in a dark suit stood behind the computer. “Hello,” Anna said cautiously. “I'd like to book a room.” The man nodded and looked up. ""Hello! Welcome. Have you booked in advance?“ ”No,“ she replied. ”Can I have a single room for one night?“ ”Of course,“ he said, typing something on the keyboard. ”We have rooms available. Would you like a room with a bathroom?“ ”Yes, please,“ said Anna. ”And with breakfast?“ ”Yes, breakfast is included,“ he replied. ”The room costs 950 kroner for one night. Is that okay?“ ”Yes, that's fine,"" she replied and took out her wallet. “What's your name?” he asked as he continued typing. “Anna Larsen.” “Great. Here's your key, room 204, on the second floor. The elevator is on the left.” “Thank you!” said Anna, taking the key. “You're welcome. Have a nice stay!” “Thank you. Have a nice day!”"
Buddhisme,Buddhism,philosophy,B1,"Buddhisme er en religion og livsfilosofi som begynte i India for over 2500 år siden. Den ble grunnlagt av Siddhartha Gautama, som senere ble kalt Buddha. Han var en prins som forlot sitt rike for å finne svar på hvorfor mennesker lider, og hvordan man kan finne fred. Buddhismen lærer at livet er fullt av lidelse, men at det finnes en vei ut av denne lidelsen. Denne veien kalles Den åttedelte veien, og den handler om rett forståelse, rett tale, rett handling og andre viktige verdier. Målet er å nå nirvana, en tilstand av indre fred og frihet fra begjær og hat. Det finnes flere retninger innen buddhismen, blant annet theravada, mahayana og zen. Selv om de er litt forskjellige, følger de alle Buddhas lære. Mange buddhister mediterer hver dag for å trene sinnet og utvikle medfølelse. I dag finnes det buddhister over hele verden, også i Norge. Noen er født inn i religionen, mens andre velger å bli buddhister fordi de liker tankene om fred, balanse og respekt for alt liv.","Buddhism is a religion and philosophy of life that began in India over 2,500 years ago. It was founded by Siddhartha Gautama, who was later called Buddha. He was a prince who left his kingdom to find answers to why people suffer and how to find peace. Buddhism teaches that life is full of suffering, but that there is a way out of this suffering. This path is called the Eightfold Path, and it includes right understanding, right speech, right action, and other important values. The goal is to reach nirvana, a state of inner peace and freedom from desire and hatred. There are several branches of Buddhism, including Theravada, Mahayana, and Zen. Although they are a bit different, they all follow Buddha’s teachings. Many Buddhists meditate daily to train the mind and develop compassion. Today, there are Buddhists all over the world, including in Norway. Some are born into the religion, while others choose to become Buddhists because they like the ideas of peace, balance, and respect for all life."
Budsjettreisetips,Budget Travel Tips,travel,A2,"Å reise trenger ikke å være dyrt. Med noen enkle tips kan du spare penger og likevel ha en fin ferie. Først bør du planlegge reisen tidlig. Da kan du finne billige flybilletter og hotell. Det er lurt å reise utenom høysesong. Prisene er lavere, og det er færre turister. Du kan også bo billigere hvis du velger hostel eller leier rom gjennom nettsider som Airbnb. Mange steder tilbyr gratis aktiviteter, som å gå på tur i naturen eller besøke parker og museer. Lag mat selv i stedet for å spise ute hver dag. Da sparer du mye penger. Bruk kollektivtransport i stedet for taxi. Det er billigere og en fin måte å se byen på. Husk å sette opp et budsjett før du drar, så du vet hvor mye du kan bruke. Med gode valg kan du reise smart og billig!","Traveling doesn’t have to be expensive. With a few simple tips, you can save money and still have a nice vacation. First, you should plan your trip early. Then you can find cheap plane tickets and hotels. It’s smart to travel outside the high season. Prices are lower, and there are fewer tourists. You can also stay cheaper if you choose a hostel or rent a room through websites like Airbnb. Many places offer free activities, such as hiking in nature or visiting parks and museums. Cook your own food instead of eating out every day. That saves you a lot of money. Use public transport instead of taxis. It’s cheaper and a nice way to see the city. Remember to set up a budget before you go, so you know how much you can spend. With smart choices, you can travel cheaply and wisely!"
Kjøp av suvenirer,Buying Souvenirs,dialogue,A2,"Sola skinte over de trange gatene i gamlebyen. Maria og Anna gikk langs små butikker fulle av fargerike skjerf, håndlagde lys og treskjæringer. “Se på denne!” sa Maria og holdt opp en liten vikingfigur. “Den er perfekt for pappa.” Anna smilte. “Ja, han liker sånne ting. Hva koster den?” Maria snudde på figuren og fant prislappen. “199 kroner. Det er litt dyrt, men den er håndlaget.” “Du kan spørre om rabatt,” foreslo Anna. Maria nikket og gikk bort til kassen. “Hei! Jeg liker denne vikingfiguren. Har dere kanskje litt rabatt?” Den eldre damen bak disken smilte vennlig. “Dessverre, ikke på håndlagde varer. Men du får et lite kort med informasjon om figuren med på kjøpet.” “Da tar jeg den,” sa Maria og fant frem lommeboka. Mens damen pakket inn figuren i grått papir med rødt bånd, så Anna seg rundt. “Å, de selger magneter også!” “Vil du ha en?” spurte Maria. “Ja, en med norsk flagg,” svarte Anna. “Den koster bare 49 kroner.” Maria lo. “Det er mer min pris!” De betalte og gikk ut igjen i sola, begge med en liten papirpose i hånden. “Vi må ta et bilde her før vi drar,” sa Anna. “Med posene våre og den fine butikken i bakgrunnen.” “Ja!” svarte Maria. “Så har vi både suvenirer og minner.”","The sun shone down on the narrow streets of the old town. Maria and Anna walked past small shops full of colorful scarves, handmade candles, and wood carvings. “Look at this!” said Maria, holding up a small Viking figurine. “It's perfect for Dad.” Anna smiled. ""Yes, he likes things like that. How much does it cost?“ Maria turned the figurine over and found the price tag. ”199 kroner. It's a little expensive, but it's handmade.“ ”You could ask for a discount,“ suggested Anna. Maria nodded and walked over to the cash register. ”Hi! I like this Viking figurine. Do you have a discount?“ The elderly lady behind the counter smiled kindly. ”Unfortunately, not on handmade items. But you can have a little card with information about the figurine with your purchase.“ ”I'll take it,"" said Maria and took out her wallet. While the lady wrapped the figurine in gray paper with a red ribbon, Anna looked around. “Oh, they sell magnets too!” “Would you like one?” asked Maria. “Yes, one with the Norwegian flag,” replied Anna. “It only costs 49 kroner.” Maria laughed. “That's more like my price!” They paid and went back out into the sunshine, both with a small paper bag in their hands. “We have to take a picture here before we leave,” said Anna. “With our bags and the nice shop in the background.” “Yes!” replied Maria. “Then we'll have both souvenirs and memories.”"
Kapselhoteller,Capsule Hotels,travel,A2,"Et kapselhotell er et lite og smart hotell der gjestene sover i små kapsler i stedet for vanlige rom. Hver kapsel har plass til én person og inneholder ofte en madrass, en lampe, en liten TV og en stikkontakt. Noen kapselhoteller har også gardiner eller dører for mer privatliv. Kapselhoteller finnes ofte i store byer som Tokyo og Oslo. De er populære fordi de er billige og enkle. Mange reisende liker å bo der én eller to netter når de bare trenger et sted å sove. Selv om plassene er små, er kapselhoteller ofte rene og moderne. Det finnes felles bad, dusj og noen ganger kjøkken eller oppholdsrom. Mange gjester liker at de kan møte andre reisende der. Et kapselhotell er en god løsning for folk som vil spare penger og reise enkelt.","A capsule hotel is a small and smart hotel where guests sleep in small capsules instead of regular rooms. Each capsule has space for one person and usually includes a mattress, a lamp, a small TV, and an electrical outlet. Some capsule hotels also have curtains or doors for more privacy. Capsule hotels are often found in big cities like Tokyo and Oslo. They are popular because they are cheap and simple. Many travelers like to stay there for one or two nights when they just need a place to sleep. Even though the spaces are small, capsule hotels are often clean and modern. There are shared bathrooms, showers, and sometimes kitchens or lounges. Many guests like that they can meet other travelers there. A capsule hotel is a good solution for people who want to save money and travel simply."
Kontantløse samfunn,Cashless Societies,technology,B2,"I mange land i verden ser vi en tydelig trend mot kontantløse samfunn. Dette betyr at folk i stadig større grad betaler med kort, mobil eller andre digitale løsninger, i stedet for med kontanter. Norge er et av de landene som har kommet lengst i denne utviklingen. Mange butikker, kafeer og restauranter aksepterer ikke lenger kontanter, og det er vanlig å bruke Vipps eller kontaktløs betaling i hverdagen. Fordelene med et kontantløst samfunn er mange. Det blir vanskeligere å drive med svart økonomi, og transaksjoner kan spores lettere. Det er også mer praktisk for både kunder og bedrifter, siden digitale betalinger ofte går raskere enn kontanter. I tillegg slipper man å tenke på vekslepenger eller å gå i minibanken. Likevel finnes det utfordringer. Noen eldre mennesker føler seg usikre på digitale betalingsløsninger, og personer uten bankkonto eller smarttelefon kan få problemer i et samfunn der alt krever elektronisk betaling. I tillegg øker risikoen for hacking og digital svindel når alle pengene er digitale. Spørsmålet mange stiller seg, er om det er riktig å gå helt bort fra kontanter. Selv om teknologien gjør det mulig, er det viktig å inkludere alle i samfunnet og sørge for at ingen blir stående utenfor.","In many countries around the world, we see a clear trend toward cashless societies. This means that people are increasingly paying with cards, mobile phones, or other digital solutions instead of using cash. Norway is one of the countries that has come the farthest in this development. Many shops, cafés, and restaurants no longer accept cash, and it’s common to use Vipps or contactless payments in everyday life. There are many advantages to a cashless society. It becomes harder to operate in the black economy, and transactions can be tracked more easily. It is also more practical for both customers and businesses, since digital payments are often faster than using cash. In addition, you don’t have to think about change or going to the ATM. Still, there are challenges. Some elderly people feel uncertain about digital payment solutions, and people without bank accounts or smartphones may face problems in a society where everything requires electronic payment. In addition, the risk of hacking and digital fraud increases when all money is digital. The question many ask is whether it’s right to completely stop using cash. Even though the technology makes it possible, it’s important to include everyone in society and make sure no one is left out."
Ta igjen det tapte etter flere år fra hverandre,Catching Up After Years Apart,dialogue,C,"Det var en kjølig høstkveld da de møttes igjen. Trærne bar på sine siste gyldne blader, og luften luktet av fuktig jord og svunne minner. De hadde avtalt å møtes på den gamle kafeen de pleide å frekventere i studietiden – nå nyoppusset, men fortsatt med det samme skjeve skiltet over døren. Ingrid kom først. Hun satt ved vinduet med en kopp sterk kaffe og betraktet forbipasserende med et fjernt blikk. Da døren gikk opp og hun så ham, trakk hun pusten dypt og reiste seg. “Markus,” sa hun stille, nesten som om hun måtte teste om navnet fortsatt føltes kjent i munnen hennes. Han smilte, og det smilet var både det samme og helt nytt. “Ingrid. Du ser… akkurat ut som jeg husket. Kanskje litt mer voksen. På den gode måten.” De satte seg, og i et øyeblikk var det bare stillhet. Ikke en trykkende, men en fylt stillhet – av alt som ikke var sagt på så mange år. “Jeg har tenkt på deg oftere enn jeg vil innrømme,” sa hun etter hvert. “Men jeg var redd for at for mye hadde forandret seg. Eller at vi hadde.” “Vi har nok begge forandret oss,” svarte han, og lekte med skjeen i koppen. “Men det betyr jo ikke at alt er borte. Noe sitter i kroppen, ikke sant? Som gamle sanger – man husker teksten når melodien begynner.” Hun lo lavt, nesten overrasket. “Det var typisk deg å si noe slikt. Du har alltid tenkt i bilder.” “Og du har alltid utfordret dem,” svarte han med et glimt i øyet. “Så… hva har livet gjort med deg, Ingrid?” “Åh,” sa hun og lente seg tilbake. “Det er vanskelig å komprimere femten år på femten minutter. Men… jeg har jobbet mye. Vært gift. Skilt. Reist. Mistet faren min. Skrevet en bok som aldri ble publisert. Begynt å male. Hva med deg?” Han nikket sakte. “Livet mitt har vært… sammensatt. Jeg flyttet til København. Jobbet med film. Ble utbrent. Flyttet tilbake. Fikk barn. Nå prøver jeg å finne tilbake til noe jeg tror jeg mistet underveis.” “Og hva er det?” spurte hun, og øynene hennes søkte hans. “Tilhørighet,” svarte han etter en pause. “Ikke nødvendigvis til et sted. Men til noen. Til meg selv.” Stillheten la seg igjen mellom dem, men denne gangen var den varm. Som et teppe de begge kunne hvile i. “Merkelig,” sa hun. “At vi møtes igjen nå. Akkurat nå.” “Kanskje det ikke er så merkelig,” svarte han rolig. “Kanskje det bare var på tide.”","It was a cool autumn evening when they met again. The trees bore their last golden leaves, and the air smelled of damp earth and faded memories. They had agreed to meet at the old café they used to frequent during their student days—now newly renovated, but still with the same crooked sign above the door. Ingrid arrived first. She sat by the window with a cup of strong coffee and watched passers-by with a distant gaze. When the door opened and she saw him, she took a deep breath and stood up. “Markus,” she said quietly, almost as if she had to test whether the name still felt familiar in her mouth. He smiled, and that smile was both the same and completely new. ""Ingrid. You look... just as I remembered. Maybe a little more grown up. In a good way.“ They sat down, and for a moment there was only silence. Not an oppressive silence, but a silence filled with everything that had not been said in so many years. ”I've thought about you more often than I'd like to admit,“ she said after a while. ”But I was afraid that too much had changed. Or that we had.“ ”We've probably both changed,“ he replied, playing with the spoon in his cup. ”But that doesn't mean everything is gone. Some things stay with you, right? Like old songs – you remember the lyrics when the melody starts.“ She laughed softly, almost surprised. ”That's typical of you to say something like that. You've always thought in images."" “And you've always challenged them,” he replied with a twinkle in his eye. “So... what has life done to you, Ingrid?” “Oh,” she said, leaning back. ""It's hard to condense fifteen years into fifteen minutes. But... I've worked a lot. Been married. Divorced. Traveled. Lost my father. Written a book that was never published. Started painting. What about you?“ He nodded slowly. ”My life has been... complicated. I moved to Copenhagen. Worked in film. Burned out. Moved back. Had children. Now I'm trying to find my way back to something I think I lost along the way.“ ”And what is that?“ she asked, her eyes searching his. ”Belonging,“ he replied after a pause. ”Not necessarily to a place. But to someone. To myself.“ Silence settled between them again, but this time it was warm. Like a blanket they could both rest in. ”Strange,“ she said. ”That we meet again now. Right now.“ ”Maybe it's not so strange,“ he replied calmly. ”Maybe it was just time."""
Sjekke inn på hotell,Checking into a Hotel,dialogue,A1,"Maria gikk inn i hotellet og så seg rundt. Det var lyst og fint i resepsjonen. En mann sto bak disken og smilte. “Hei,” sa Maria. “Jeg har en reservasjon.” “Hei! Velkommen,” svarte mannen. “Hva heter du?” “Maria Olsen.” Han skrev noe på datamaskinen. “Ja, her er du. Ett rom for to netter?” “Ja, det stemmer,” sa Maria og nikket. “Kan jeg få passet ditt, takk?” spurte han. “Selvfølgelig,” sa Maria og ga ham passet. Han tok imot passet og tastet inn informasjonen. “Her er nøkkelkortet ditt,” sa han og rakte henne et kort. “Rom 204. Heisen er til venstre.” “Tusen takk!” sa Maria. “Frokost er fra klokka sju til ti,” sa han. “Trenger du hjelp med bagasjen?” “Nei takk, det går bra,” svarte Maria og smilte. “Ha et fint opphold!” “Takk! Ha en fin dag.”","Maria entered the hotel and looked around. The reception area was bright and pleasant. A man stood behind the counter and smiled. “Hello,” said Maria. “I have a reservation.” “Hello! Welcome,” replied the man. “What is your name?” “Maria Olsen.” He typed something into the computer. ""Yes, here you are. One room for two nights?“ ”Yes, that's right,“ said Maria and nodded. ”Can I see your passport, please?“ he asked. ”Of course,“ said Maria and handed him her passport. He took the passport and typed in the information. ”Here's your key card,"" he said and handed her a card. “Room 204. The elevator is on the left.” “Thank you very much!” said Maria. “Breakfast is from 7 to 10,” he said. “Do you need help with your luggage?” “No, thank you, I'm fine,” replied Maria with a smile. “Have a nice stay!” “Thank you! Have a nice day.”"
Kristendom,Christianity,philosophy,B2,"Kristendommen er en av verdens største religioner, og har hatt en betydelig innflytelse på europeisk historie, kultur og samfunn. I Norge har kristendommen vært den dominerende religionen siden vikingtiden, da kristne misjonærer begynte å spre budskapet om Jesus Kristus. Over tid ble landet kristnet, og den norrøne religionen forsvant gradvis. I dag er Den norske kirke fortsatt den største trosretningen i Norge, selv om samfunnet har blitt mer sekulært de siste tiårene. Mange nordmenn er medlemmer av kirken uten å være aktive troende, og det er vanlig at folk døper barna sine, gifter seg i kirken, og holder konfirmasjon, selv om de ikke går i kirken regelmessig. Kristendommen bygger på troen på én Gud og på Jesu liv, død og oppstandelse. Bibelen er den hellige teksten, og den inneholder både Det gamle testamentet og Det nye testamentet. Verdier som nestekjærlighet, tilgivelse og rettferdighet står sentralt i kristen tro. Selv om religionen ikke har like stor plass i det offentlige livet som før, påvirker kristne verdier fortsatt mange sider av det norske samfunnet, blant annet lovgivning, høytider og etiske diskusjoner.","Christianity is one of the world’s largest religions and has had a significant influence on European history, culture, and society. In Norway, Christianity has been the dominant religion since the Viking Age, when Christian missionaries began spreading the message of Jesus Christ. Over time, the country was Christianized, and the Norse religion gradually disappeared. Today, the Church of Norway is still the largest religious denomination in Norway, although society has become more secular in recent decades. Many Norwegians are members of the church without being active believers, and it is common for people to baptize their children, get married in the church, and hold confirmation, even if they don’t go to church regularly. Christianity is based on the belief in one God and in Jesus’ life, death, and resurrection. The Bible is the holy text, and it contains both the Old Testament and the New Testament. Values such as love for one’s neighbor, forgiveness, and justice are central to the Christian faith. Even though the religion doesn’t have as big a role in public life as before, Christian values still influence many aspects of Norwegian society, including laws, holidays, and ethical discussions."
Døgnrytmer,Circadian Rhythms,health,B2,"Døgnrytmen er kroppens indre klokke som regulerer når vi skal sove, våkne, spise og være våkne eller trøtte. Denne rytmen styres av hjernen og påvirkes i stor grad av lys og mørke. Når det blir mørkt ute, begynner kroppen å produsere mer av hormonet melatonin, som gjør oss trøtte. Når det blir lyst, reduseres produksjonen, og vi våkner lettere. Forstyrrelser i døgnrytmen kan føre til søvnproblemer, konsentrasjonsvansker og lavere energi i hverdagen. Dette skjer ofte ved skiftarbeid, jetlag eller når man bruker skjermer sent på kvelden. Lyset fra skjermer kan nemlig lure hjernen til å tro at det fortsatt er dag, og da blir det vanskeligere å sovne. Å ha en stabil døgnrytme er viktig for både fysisk og psykisk helse. Det anbefales å stå opp og legge seg til omtrent samme tid hver dag, også i helgene. I tillegg bør man unngå koffein sent på dagen og redusere skjermbruk før leggetid. Ved å ta hensyn til kroppens naturlige rytmer, kan man få bedre søvn og fungere bedre i hverdagen.","The circadian rhythm is the body’s internal clock that regulates when we should sleep, wake up, eat, and feel alert or tired. This rhythm is controlled by the brain and is largely affected by light and darkness. When it gets dark outside, the body starts to produce more of the hormone melatonin, which makes us sleepy. When it becomes light, melatonin production decreases, and we wake up more easily. Disruptions to the circadian rhythm can lead to sleep problems, difficulty concentrating, and lower energy in daily life. This often happens with shift work, jet lag, or when using screens late at night. The light from screens can trick the brain into thinking it is still daytime, making it harder to fall asleep. Having a stable circadian rhythm is important for both physical and mental health. It is recommended to go to bed and get up at about the same time every day, even on weekends. You should also avoid caffeine late in the day and reduce screen use before bedtime. By respecting the body’s natural rhythms, you can sleep better and function better in everyday life."
Byparker,City Parks,travel,A2,"Byparker er viktige steder i byen. Mange mennesker går til parken for å slappe av eller gå en tur. I parken kan man sitte på en benk, lese en bok eller bare se på trærne og blomstene. Noen parker har lekeplasser for barn, og mange familier besøker dem i helgene. Om sommeren liker folk å ha piknik i parken. De tar med mat, drikke og et teppe. Det er også vanlig å se folk jogge eller trene. Noen parker har fontener, små innsjøer eller statuer. Byparker er gode for både kroppen og hodet. Det er stille og rolig der, og man kan få litt frisk luft. I en travel by er parken et fint sted å ta en pause.","City parks are important places in the city. Many people go to the park to relax or take a walk. In the park, you can sit on a bench, read a book, or just look at the trees and flowers. Some parks have playgrounds for children, and many families visit them on weekends. In summer, people enjoy having picnics in the park. They bring food, drinks, and a blanket. It is also common to see people jogging or exercising. Some parks have fountains, small lakes, or statues. City parks are good for both the body and the mind. It is quiet and peaceful there, and you can get some fresh air. In a busy city, the park is a nice place to take a break."
Rydding av rommet mitt,Cleaning My Room,monologue,A1,"Jeg våkner og ser at rommet mitt er rotete. Klær ligger på gulvet, og det er støv på bordet. Jeg bestemmer meg for å rydde. Først plukker jeg opp klærne og legger dem i skapet. Så kaster jeg søppel i søppelbøtta. Jeg tar støvsugeren og støvsuger gulvet. Etterpå vasker jeg bordet med en klut. Nå ser rommet mye bedre ut. Jeg føler meg glad og stolt. Det er fint å ha et rent rom.","I wake up and see that my room is messy. Clothes are on the floor, and there is dust on the table. I decide to clean up. First, I pick up the clothes and put them in the closet. Then I throw trash into the bin. I take the vacuum cleaner and vacuum the floor. Afterwards, I clean the table with a cloth. Now the room looks much better. I feel happy and proud. It’s nice to have a clean room."
